"Time Step","Softwood Merchantable","Softwood Other","Softwood Foliage","Softwood Fine Roots","Softwood Coarse Roots","Aboveground Very Fast DOM","Belowground Very Fast DOM","Aboveground Fast DOM","Belowground Fast DOM","Medium DOM","Aboveground Slow DOM","Belowground Slow DOM","Softwood Stem Snag","Softwood Branch Snag","Hardwood Stem Snag","Hardwood Branch Snag",
17,2.723214626,5.709644318,1.817121983,0.7762878537,1.499207973,1.40635311603546,0.37662062048912,4.92754411697388,1.10986745357513,18.1788768768311,16.2511596679688,76.1746215820313,18.091178894043,1.17581582069397,0,0,
18,3.091101885,6.121042252,1.897137761,0.8262920976,1.639968395,1.50953698158264,0.40619757771492,4.69896078109741,1.00967800617218,18.2544574737549,16.3039875030518,76.0797958374023,17.2945117950439,1.0598658323288,0,0,
19,3.481421947,6.520032883,1.974333882,0.8747278452,1.783897042,1.61118412017822,0.435280114412308,4.49569177627563,0.921080708503723,18.3031997680664,16.3550338745117,75.9866256713867,16.5359287261963,0.964726269245148,0,0,
20,3.89343071,6.904958725,2.048787355,0.9214961529,1.93057704,1.7109090089798,0.463713020086288,4.31666803359985,0.842908620834351,18.3270111083984,16.404821395874,75.8952407836914,15.8138475418091,0.887226402759552,0,0,
21,4.326277256,7.274404049,2.120575666,0.9665256739,2.079593658,1.80839967727661,0.491379350423813,4.1606011390686,0.774111211299896,18.3276958465576,16.453800201416,75.8057403564453,15.1267509460449,0.824644863605499,0,0,
22,4.779007912,7.627187729,2.189776659,1.009769201,2.230536699,1.90340828895569,0.518191874027252,4.02605199813843,0.713742434978485,18.3069667816162,16.5023612976074,75.7181930541992,14.4731864929199,0.774646162986755,0,0,
23,5.250574589,7.962349415,2.256467342,1.051200628,2.383004189,1.99574172496796,0.544087171554565,3.91148805618286,0.660949945449829,18.2664413452148,16.5508289337158,75.6326522827148,13.8517589569092,0.735226452350616,0,0,
24,5.739840508,8.27914238,2.320724726,1.090812087,2.536602497,2.08525466918945,0.569020986557007,3.81532835960388,0.614965558052063,18.207649230957,16.5994815826416,75.5491561889648,13.2611322402954,0.704667091369629,0,0,
25,6.245586395,8.577023506,2.382624388,1.128611565,2.690950871,2.1718430519104,0.592965066432953,3.73598003387451,0.575096845626831,18.1320419311523,16.6485424041748,75.4677276611328,12.7000217437744,0.681494653224945,0,0,
26,6.766520977,8.855638504,2.44224143,1.164619207,2.845677614,2.25543832778931,0.615904092788696,3.67186594009399,0.540719211101532,18.0409908294678,16.6981906890869,75.3883666992188,12.1671934127808,0.66444718837738,0,0,
